,region,year,SST_MJJ,SST_May,SST_AMJJ,SST_AMJ
1,Chatham,1985,8.710809372,6.388690096,7.782412141,6.740830671
2,Chatham,1986,9.173386581,6.959488818,8.186892971,7.127593184
3,Chatham,1987,9.038328009,7.416102236,8.214808307,7.344653887
4,Chatham,1988,9.185484558,7.094664537,8.257060703,7.358668797
5,Chatham,1989,9.481075612,6.967380192,8.507835463,7.390543131
6,Chatham,1990,10.19391906,7.380734824,9.039113419,7.713333333
7,Chatham,1991,9.108168264,6.973226837,8.105031949,7.062129925
8,Chatham,1992,9.342396166,7.065814696,8.3975,7.359510117
9,Chatham,1993,10.38609159,7.814249201,9.194976038,8.0942918
10,Chatham,1994,9.717316294,7.414888179,8.719912141,7.741618743
11,Chatham,1995,9.740308839,8.068977636,8.60014377,7.60599574
12,Chatham,1996,9.487827476,7.563769968,8.403466454,7.437103301
13,Chatham,1997,10.08097977,7.477507987,8.829472843,7.588146965
14,Chatham,1998,9.850500532,7.830095847,8.910974441,7.881618743
15,Chatham,1999,8.898636848,6.838242812,8.04951278,7.115058573
16,Chatham,2000,9.697657082,7.340702875,8.623027157,7.523844515
17,Chatham,2001,9.154259851,6.741246006,8.183154952,7.121107561
18,Chatham,2002,8.970766773,6.386485623,7.845814696,6.641064963
19,Chatham,2003,9.918892439,7.712715655,8.903722045,7.84544196
20,Chatham,2004,10.43404686,7.943290735,9.21928115,7.964046858
21,Chatham,2005,10.66776358,8.513865815,9.479456869,8.443525027
22,Chatham,2006,9.776048988,7.159872204,8.675615016,7.58341853
23,Chatham,2007,9.521980831,7.042204473,8.407571885,7.266922258
24,Chatham,2008,8.645857295,6.774217252,7.688322684,6.830777423
25,Chatham,2009,9.747880724,7.29798722,8.457276358,7.349584665
26,Chatham,2010,9.645410011,7.969105431,8.661701278,7.925846645
27,Chatham,2011,9.591288605,7.312428115,8.492771565,7.547763578
28,Chatham,2012,9.168242812,7.071565495,8.181861022,7.224142705
29,Chatham,2013,9.656230032,6.741309904,8.441797125,7.213631523
30,Chatham,2014,9.975175719,8.165239617,8.755798722,7.767689031
31,Chatham,2015,10.6215229,8.873769968,9.554488818,8.73
32,Chatham,2016,11.0371459,8.915527157,10.0336901,9.068146965
33,Chatham,2017,9.654909478,7.652939297,8.695822684,7.759669862
34,Chatham,2018,9.870670927,7.403546326,8.753682109,7.6142918
35,Chatham,2019,10.47024494,8.24399361,9.455543131,8.354930777
36,Chatham,2020,9.993876464,8.08942492,8.835375399,7.860308839
37,Chatham,2021,10.06083067,7.2485623,8.895159744,7.629190628
38,Chatham,2022,10.1743983,7.515079872,8.918019169,7.641735889
39,Icy_Strait,1985,8.937238095,6.003857143,7.791892857,6.514285714
40,Icy_Strait,1986,9.43752381,6.764,8.233,6.937047619
41,Icy_Strait,1987,9.033095238,6.975285714,8.048464286,7.061238095
42,Icy_Strait,1988,9.537619048,7.170142857,8.427714286,7.387809524
43,Icy_Strait,1989,9.765380952,6.755714286,8.558321429,7.209285714
44,Icy_Strait,1990,10.40333333,7.013142857,9.056821429,7.48052381
45,Icy_Strait,1991,9.253428571,6.566142857,8.106464286,6.765571429
46,Icy_Strait,1992,9.45952381,6.656428571,8.324321429,7.136333333
47,Icy_Strait,1993,10.66652381,7.437857143,9.250964286,7.909904762
48,Icy_Strait,1994,9.97052381,6.720285714,8.75175,7.415047619
49,Icy_Strait,1995,10.01642857,7.604714286,8.612071429,7.285190476
50,Icy_Strait,1996,9.785857143,7.178571429,8.4525,7.179428571
51,Icy_Strait,1997,10.29519048,7.007142857,8.828428571,7.30247619
52,Icy_Strait,1998,9.967,7.343285714,8.847071429,7.559952381
53,Icy_Strait,1999,9.084571429,6.169571429,8.023464286,6.784571429
54,Icy_Strait,2000,9.939380952,7.023571429,8.674678571,7.35
55,Icy_Strait,2001,9.566809524,6.478,8.399357143,7.081761905
56,Icy_Strait,2002,9.336333333,6.263571429,8.019928571,6.598238095
57,Icy_Strait,2003,10.08133333,7.286285714,8.882178571,7.531714286
58,Icy_Strait,2004,10.67757143,7.528714286,9.250928571,7.687809524
59,Icy_Strait,2005,11.15685714,8.404857143,9.640857143,8.255571429
60,Icy_Strait,2006,10.19233333,6.838571429,8.860714286,7.487809524
61,Icy_Strait,2007,9.494857143,6.548,8.161321429,6.866666667
62,Icy_Strait,2008,8.849666667,6.427714286,7.723642857,6.679857143
63,Icy_Strait,2009,9.936428571,7.186857143,8.466,7.219761905
64,Icy_Strait,2010,9.872761905,7.708714286,8.680892857,7.807904762
65,Icy_Strait,2011,9.843714286,6.809857143,8.474535714,7.178809524
66,Icy_Strait,2012,9.232047619,6.924857143,8.104178571,7.066952381
67,Icy_Strait,2013,9.880714286,6.369857143,8.452142857,6.973952381
68,Icy_Strait,2014,10.23414286,7.897285714,8.81025,7.622952381
69,Icy_Strait,2015,10.72547619,8.341142857,9.430714286,8.29247619
70,Icy_Strait,2016,11.64580952,8.806714286,10.37092857,9.137666667
71,Icy_Strait,2017,9.819952381,7.215714286,8.662571429,7.506714286
72,Icy_Strait,2018,9.986380952,6.920571429,8.739,7.432714286
73,Icy_Strait,2019,10.73871429,7.786571429,9.514035714,8.099142857
74,Icy_Strait,2020,10.39714286,7.834,9.048571429,7.855619048
75,Icy_Strait,2021,10.25933333,6.913571429,8.906642857,7.468
76,Icy_Strait,2022,10.34238095,7.134428571,8.884821429,7.402904762
77,NSEAK,1985,8.76796131,6.312522321,7.757537202,6.616525298
78,NSEAK,1986,9.202175099,6.889032738,8.140920759,6.988945933
79,NSEAK,1987,9.007462798,7.207105655,8.094931176,7.118705357
80,NSEAK,1988,9.201961806,6.970014881,8.182479539,7.188216766
81,NSEAK,1989,9.492048611,6.863221726,8.442825521,7.219236111
82,NSEAK,1990,10.08453125,7.296235119,8.887020089,7.557911706
83,NSEAK,1991,9.186783234,6.908244048,8.09359189,6.95172619
84,NSEAK,1992,9.371130952,6.973839286,8.333893229,7.206669147
85,NSEAK,1993,10.2460119,7.554598214,9.00235119,7.83047619
86,NSEAK,1994,9.671708829,7.166376488,8.600479911,7.487770337
87,NSEAK,1995,9.789270833,7.829665179,8.542620908,7.380193452
88,NSEAK,1996,9.52421875,7.400684524,8.353255208,7.296542659
89,NSEAK,1997,10.01928075,7.347165179,8.707040551,7.404987599
90,NSEAK,1998,9.892839782,7.652589286,8.846687128,7.706326885
91,NSEAK,1999,8.92890129,6.699605655,7.984099702,6.948244048
92,NSEAK,2000,9.704704861,7.234412202,8.567150298,7.389818948
93,NSEAK,2001,9.221800595,6.659419643,8.173500744,7.011339286
94,NSEAK,2002,9.05453373,6.392953869,7.883485863,6.614466766
95,NSEAK,2003,9.858110119,7.571540179,8.758262649,7.604099702
96,NSEAK,2004,10.38101438,7.892775298,9.090174851,7.786386409
97,NSEAK,2005,10.63086062,8.41781994,9.351847098,8.255682044
98,NSEAK,2006,9.720674603,6.979769345,8.550115327,7.363328373
99,NSEAK,2007,9.435255456,6.898779762,8.237241443,7.031006944
100,NSEAK,2008,8.645089286,6.637254464,7.627074033,6.737522321
101,NSEAK,2009,9.773665675,7.320751488,8.396283482,7.238375496
102,NSEAK,2010,9.623722718,7.755565476,8.540399926,7.71921875
103,NSEAK,2011,9.665032242,7.251808036,8.43703683,7.436448413
104,NSEAK,2012,9.141282242,6.951986607,8.088485863,7.102557044
105,NSEAK,2013,9.67311756,6.588735119,8.35515811,7.041044147
106,NSEAK,2014,10.02861855,8.153869048,8.701034226,7.637539683
107,NSEAK,2015,10.80536706,8.918936012,9.559315476,8.653417659
108,NSEAK,2016,11.18063492,8.917068452,10.05304129,9.001381448
109,NSEAK,2017,9.821436012,7.75,8.766136533,7.776912202
110,NSEAK,2018,10.10597718,7.533891369,8.857790179,7.62624256
111,NSEAK,2019,10.87125744,8.423013393,9.649970238,8.43640873
112,NSEAK,2020,10.22914435,8.264471726,8.982358631,7.944806548
113,NSEAK,2021,10.22695437,7.293787202,8.95766369,7.646894841
114,NSEAK,2022,10.52364335,7.622693452,9.107425595,7.735280258
115,SEAK,1985,9.322284391,6.903871573,8.323393729,7.202954062
116,SEAK,1986,9.560528226,7.380743522,8.574397296,7.538719489
117,SEAK,1987,9.436204782,7.777033421,8.573424709,7.669037426
118,SEAK,1988,9.602668669,7.500499437,8.640196207,7.713670046
119,SEAK,1989,9.981887595,7.458700713,8.946392227,7.7800363
120,SEAK,1990,10.53307047,7.98677807,9.38673113,8.16039304
121,SEAK,1991,9.611271749,7.462361998,8.555919076,7.482106647
122,SEAK,1992,9.900863688,7.647187383,8.914502441,7.884759044
123,SEAK,1993,10.7147603,8.213458505,9.502837026,8.413866567
124,SEAK,1994,10.09427212,7.85918513,9.08292715,8.083811491
125,SEAK,1995,10.30107898,8.446278633,9.110100451,8.052400801
126,SEAK,1996,9.846796846,7.851250469,8.748932595,7.756585305
127,SEAK,1997,10.47187257,7.99954187,9.198062336,7.986963325
128,SEAK,1998,10.36003254,8.365309801,9.378880023,8.370167731
129,SEAK,1999,9.296018275,7.230045062,8.403885655,7.431941419
130,SEAK,2000,10.02490049,7.712835148,8.946833459,7.861349355
131,SEAK,2001,9.510521968,7.101487045,8.522754412,7.447984729
132,SEAK,2002,9.441509576,6.920559519,8.332904619,7.139427963
133,SEAK,2003,10.3188722,8.168546752,9.249546564,8.163621229
134,SEAK,2004,10.97719614,8.578426587,9.742688697,8.512459632
135,SEAK,2005,11.06199524,8.923548629,9.830118288,8.823070472
136,SEAK,2006,10.1859657,7.632027788,9.069050882,7.960554512
137,SEAK,2007,9.992076605,7.511734885,8.822146076,7.637346351
138,SEAK,2008,9.184993116,7.216113406,8.165332332,7.281231694
139,SEAK,2009,10.20194893,7.76138941,8.852883965,7.732964076
140,SEAK,2010,10.0920691,8.283405933,9.052232445,8.226806859
141,SEAK,2011,10.05173238,7.740296658,8.883162786,7.918394042
142,SEAK,2012,9.679481787,7.46885092,8.627470897,7.606586557
143,SEAK,2013,10.39433346,7.510859932,9.104802854,7.85053824
144,SEAK,2014,10.56935787,8.615362373,9.264317499,8.173009138
145,SEAK,2015,11.42881086,9.643894104,10.213681,9.315996996
146,SEAK,2016,11.67002253,9.607217424,10.59035205,9.592910252
147,SEAK,2017,10.30890725,8.254776568,9.282535674,8.287829516
148,SEAK,2018,10.78651521,8.279545625,9.537979722,8.295293529
149,SEAK,2019,11.46330705,9.013203154,10.24567124,9.047048442
150,SEAK,2020,10.7027613,8.898197522,9.522393917,8.528336463
151,SEAK,2021,10.81557892,7.970443109,9.584913631,8.305451245
152,SEAK,2022,11.04067843,8.215925648,9.683015396,8.377372637
