"","year","mean_pdo"
"1",1970,-0.1975
"2",1971,-1.1075
"3",1972,-0.818333333333333
"4",1973,-0.629166666666667
"5",1974,-0.244166666666667
"6",1975,-1.12083333333333
"7",1976,0.135
"8",1977,0.408333333333333
"9",1978,0.324166666666667
"10",1979,0.404166666666667
"11",1980,0.7425
"12",1981,1.08583333333333
"13",1982,0.183333333333333
"14",1983,1.65083333333333
"15",1984,0.845
"16",1985,0.333333333333333
"17",1986,1.21916666666667
"18",1987,1.79416666666667
"19",1988,0.526666666666667
"20",1989,-0.28
"21",1990,-0.408333333333333
"22",1991,-0.57
"23",1992,1.01
"24",1993,1.3075
"25",1994,-0.206666666666667
"26",1995,0.8725
"27",1996,0.828333333333333
"28",1997,1.60083333333333
"29",1998,0.2925
"30",1999,-1.18083333333333
"31",2000,-0.6425
"32",2001,-0.4475
"33",2002,0.124166666666667
"34",2003,0.805833333333333
"35",2004,0.0616666666666667
"36",2005,0.101666666666667
"37",2006,0.163333333333333
"38",2007,-0.195
"39",2008,-1.11333333333333
"40",2009,-0.489166666666667
"41",2010,-0.375833333333333
"42",2011,-1.39333333333333
"43",2012,-1.09416666666667
"44",2013,-0.799166666666667
"45",2014,0.6875
"46",2015,1.1925
"47",2016,1.10833333333333
"48",2017,0.335833333333333
"49",2018,-0.125833333333333
"50",2019,0.1575
"51",2020,-0.849166666666667
"52",2021,-1.40166666666667
"53",2022,-1.72916666666667
