"","time","PDO","index"
"1","UTC","Normalized",""
"2","1950-01-01T00:00:00Z","-1.78","PDO"
"3","1950-02-01T00:00:00Z","-2.2","PDO"
"4","1950-03-01T00:00:00Z","-1.75","PDO"
"5","1950-04-01T00:00:00Z","-1.73","PDO"
"6","1950-05-01T00:00:00Z","-2.83","PDO"
"7","1950-06-01T00:00:00Z","-2.01","PDO"
"8","1950-07-01T00:00:00Z","-3.15","PDO"
"9","1950-08-01T00:00:00Z","-2.28","PDO"
"10","1950-09-01T00:00:00Z","-2.0","PDO"
"11","1950-10-01T00:00:00Z","-1.7","PDO"
"12","1950-11-01T00:00:00Z","-1.38","PDO"
"13","1950-12-01T00:00:00Z","-1.12","PDO"
"14","1951-01-01T00:00:00Z","-1.11","PDO"
"15","1951-02-01T00:00:00Z","-1.48","PDO"
"16","1951-03-01T00:00:00Z","-1.51","PDO"
"17","1951-04-01T00:00:00Z","-1.05","PDO"
"18","1951-05-01T00:00:00Z","-0.91","PDO"
"19","1951-06-01T00:00:00Z","-1.38","PDO"
"20","1951-07-01T00:00:00Z","-0.06","PDO"
"21","1951-08-01T00:00:00Z","-1.49","PDO"
"22","1951-09-01T00:00:00Z","-0.48","PDO"
"23","1951-10-01T00:00:00Z","-0.14","PDO"
"24","1951-11-01T00:00:00Z","-0.39","PDO"
"25","1951-12-01T00:00:00Z","-1.55","PDO"
"26","1952-01-01T00:00:00Z","-2.18","PDO"
"27","1952-02-01T00:00:00Z","-1.13","PDO"
"28","1952-03-01T00:00:00Z","-1.5","PDO"
"29","1952-04-01T00:00:00Z","-1.51","PDO"
"30","1952-05-01T00:00:00Z","-1.55","PDO"
"31","1952-06-01T00:00:00Z","-1.69","PDO"
"32","1952-07-01T00:00:00Z","-1.6","PDO"
"33","1952-08-01T00:00:00Z","-1.07","PDO"
"34","1952-09-01T00:00:00Z","-0.86","PDO"
"35","1952-10-01T00:00:00Z","-0.56","PDO"
"36","1952-11-01T00:00:00Z","-0.29","PDO"
"37","1952-12-01T00:00:00Z","-0.72","PDO"
"38","1953-01-01T00:00:00Z","-0.1","PDO"
"39","1953-02-01T00:00:00Z","-0.21","PDO"
"40","1953-03-01T00:00:00Z","-0.89","PDO"
"41","1953-04-01T00:00:00Z","-0.52","PDO"
"42","1953-05-01T00:00:00Z","-0.1","PDO"
"43","1953-06-01T00:00:00Z","-0.14","PDO"
"44","1953-07-01T00:00:00Z","0.23","PDO"
"45","1953-08-01T00:00:00Z","-0.74","PDO"
"46","1953-09-01T00:00:00Z","-0.84","PDO"
"47","1953-10-01T00:00:00Z","-1.06","PDO"
"48","1953-11-01T00:00:00Z","-0.31","PDO"
"49","1953-12-01T00:00:00Z","-0.09","PDO"
"50","1954-01-01T00:00:00Z","-1.03","PDO"
"51","1954-02-01T00:00:00Z","-0.74","PDO"
"52","1954-03-01T00:00:00Z","-0.8","PDO"
"53","1954-04-01T00:00:00Z","-1.05","PDO"
"54","1954-05-01T00:00:00Z","-0.54","PDO"
"55","1954-06-01T00:00:00Z","0.47","PDO"
"56","1954-07-01T00:00:00Z","-0.04","PDO"
"57","1954-08-01T00:00:00Z","-0.19","PDO"
"58","1954-09-01T00:00:00Z","-0.98","PDO"
"59","1954-10-01T00:00:00Z","0.04","PDO"
"60","1954-11-01T00:00:00Z","0.7","PDO"
"61","1954-12-01T00:00:00Z","0.23","PDO"
"62","1955-01-01T00:00:00Z","-0.19","PDO"
"63","1955-02-01T00:00:00Z","-0.9","PDO"
"64","1955-03-01T00:00:00Z","-1.1","PDO"
"65","1955-04-01T00:00:00Z","-1.99","PDO"
"66","1955-05-01T00:00:00Z","-1.54","PDO"
"67","1955-06-01T00:00:00Z","-2.0","PDO"
"68","1955-07-01T00:00:00Z","-2.52","PDO"
"69","1955-08-01T00:00:00Z","-2.43","PDO"
"70","1955-09-01T00:00:00Z","-2.25","PDO"
"71","1955-10-01T00:00:00Z","-3.14","PDO"
"72","1955-11-01T00:00:00Z","-2.45","PDO"
"73","1955-12-01T00:00:00Z","-2.18","PDO"
"74","1956-01-01T00:00:00Z","-2.11","PDO"
"75","1956-02-01T00:00:00Z","-2.1","PDO"
"76","1956-03-01T00:00:00Z","-2.64","PDO"
"77","1956-04-01T00:00:00Z","-2.36","PDO"
"78","1956-05-01T00:00:00Z","-1.54","PDO"
"79","1956-06-01T00:00:00Z","-2.17","PDO"
"80","1956-07-01T00:00:00Z","-1.58","PDO"
"81","1956-08-01T00:00:00Z","-0.94","PDO"
"82","1956-09-01T00:00:00Z","-0.28","PDO"
"83","1956-10-01T00:00:00Z","-1.62","PDO"
"84","1956-11-01T00:00:00Z","-2.21","PDO"
"85","1956-12-01T00:00:00Z","-1.34","PDO"
"86","1957-01-01T00:00:00Z","-1.42","PDO"
"87","1957-02-01T00:00:00Z","-1.52","PDO"
"88","1957-03-01T00:00:00Z","-0.72","PDO"
"89","1957-04-01T00:00:00Z","-0.56","PDO"
"90","1957-05-01T00:00:00Z","0.14","PDO"
"91","1957-06-01T00:00:00Z","1.25","PDO"
"92","1957-07-01T00:00:00Z","0.49","PDO"
"93","1957-08-01T00:00:00Z","0.38","PDO"
"94","1957-09-01T00:00:00Z","1.81","PDO"
"95","1957-10-01T00:00:00Z","1.43","PDO"
"96","1957-11-01T00:00:00Z","1.2","PDO"
"97","1957-12-01T00:00:00Z","0.24","PDO"
"98","1958-01-01T00:00:00Z","0.76","PDO"
"99","1958-02-01T00:00:00Z","1.09","PDO"
"100","1958-03-01T00:00:00Z","0.84","PDO"
"101","1958-04-01T00:00:00Z","0.84","PDO"
"102","1958-05-01T00:00:00Z","1.51","PDO"
"103","1958-06-01T00:00:00Z","1.48","PDO"
